Anunciante,Marca,Modelo,Versao,Combustivel,Mes de Registo,Ano,Quilometros,Cilindrada [cm3],Potencia [cv],Segmento,Cor,Tipo de Caixa,Numero de Portas,Garantia de stand - incluida no preco [meses],Origem,Condicao,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Numero de Mudancas,Emissoes CO2 [g/km],Consumo Extra Urbano,Bateria,Autonomia Maxima,IUC,Sub-modelo,Consumo Combinado,Autonomia Electrica [km],Consumo [kWh/100km],Capacidade da Bateria [kWh],Classico,Site,Portugal,Valor Sem ISV,Link,Data
Profissional,VW,T-Cross,1.0 TSI Freestyle,Gasolina,8,2021.0,59000.0,999,95,SUV / TT,Prateado,Manual,5.0,36,Nacional,Usados,20900,8089579481.0,3 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Fiat,500,,Gasolina,5,2013.0,90000.0,1242,69,Utilitário,Vermelho,Manual,3.0,18,,Usados,9450,8089301221.0,3 Julho 2023,,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Hyundai,i10,1.0 Comfort (TT),Gasolina,3,2023.0,7.0,998,67,Utilitário,Branco,Manual,5.0,36,Nacional,Usados,17900,8089794116.0,3 Julho 2023,,,,,,,,,5.2,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,116,d Advantage Auto,Diesel,6,2017.0,131000.0,1496,116,Utilitário,Preto,Automática,5.0,18,,Usados,19890,8089197262.0,3 Julho 2023,,,96.0,,,,,Série 1,,,,,Nao,StandVirtual,Yes,,,
Profissional,Volvo,XC 90,2.0 T8 PHEV Inscription AWD,Híbrido (Gasolina),11,2021.0,5200.0,1969,392,SUV / TT,Cinzento,Automática,5.0,24,Importado,Usados,89900,8089447263.0,3 Julho 2023,,8.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Volvo,V60,2.0 D4 Inscription Geartronic,Diesel,3,2019.0,102069.0,1969,190,Carrinha,Preto,Automática,5.0,24,Nacional,Usados,40500,8089447255.0,3 Julho 2023,5.4,8.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Hyundai,Tucson,1.7 CRDi Premium DCT,Diesel,9,2016.0,100000.0,1685,141,SUV / TT,Preto,Automática,5.0,18,Nacional,Usados,23990,8088887755.0,3 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Audi,A4 Avant,2.0 TDi Design,Diesel,3,2016.0,270000.0,1968,150,Carrinha,Cinzento,Manual,5.0,18,Nacional,Usados,17990,8088036151.0,3 Julho 2023,4.9,6.0,109.0,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,C1,1.0 Style,Gasolina,3,2006.0,140000.0,998,68,Citadino,Preto,Manual,5.0,18,,Usados,4850,8089722124.0,3 Julho 2023,5.4,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Hyundai,i20,1.2 Comfort,Gasolina,3,2022.0,17973.0,1197,84,Utilitário,Cinzento,Manual,5.0,36,Nacional,Usados,18150,8089722272.0,3 Julho 2023,,,,,,,,,5.6,,,,Nao,StandVirtual,Yes,,,
Particular,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,6,2021.0,39000.0,1950,116,Utilitário,Cinzento,Automática,5.0,0,,Usados,38500,8089309979.0,3 Julho 2023,5.3,8.0,,,,,,Classe A,,,,,Nao,StandVirtual,Yes,,,
Profissional,Mercedes-Benz,CLA 180,,Diesel,8,2020.0,79000.0,1461,116,Carrinha,Cinzento,Automática,5.0,36,,Usados,36900,8088874356.0,3 Julho 2023,,,121.0,,,,,Classe CLA,,,,,Nao,StandVirtual,Yes,,,
Particular,BMW,320,,Diesel,11,1998.0,290000.0,1951,136,Utilitário,Preto,Manual,5.0,0,,Usados,4700,8089947636.0,3 Julho 2023,,,,,,,,Série 3,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,740,Le xDrive iPerformance,Híbrido (Gasolina),10,2017.0,95000.0,1998,326,Sedan,Cinzento,Automática,4.0,18,,Usados,49999,8089945656.0,3 Julho 2023,,8.0,67.0,,,,,Série 7,,,,,Nao,StandVirtual,Yes,,,
Profissional,Lamborghini,Murcielago,LP640 E-Gear Roadster,Gasolina,2,2010.0,12000.0,6496,640,Cabrio,Cinzento,Automática,2.0,18,Nacional,Usados,329900,8089945655.0,3 Julho 2023,32.3,6.0,495.0,15.0,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,VW,Polo,1.0 Trendline,Gasolina,5,2019.0,49000.0,999,80,Citadino,Branco,Manual,5.0,18,Nacional,Usados,13999,8089945657.0,3 Julho 2023,6.1,5.0,125.0,4.1,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Smart,ForFour,Pulse 95,Gasolina,6,2004.0,140000.0,1332,95,Citadino,Cinzento,Manual,5.0,18,,Usados,2990,8089913116.0,3 Julho 2023,7.4,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,3,2019.0,75212.0,1242,69,Utilitário,Cinzento,Manual,3.0,18,Nacional,Usados,13390,8089199822.0,3 Julho 2023,6.2,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,BMW,740,d xDrive Pack M Auto,Diesel,7,2019.0,122000.0,2993,340,Sedan,Preto,Automática,4.0,0,Nacional,Usados,95000,8088453026.0,3 Julho 2023,,,,,,,,Série 7,,,,,Nao,StandVirtual,Yes,,,
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,7,2019.0,42107.0,999,100,Utilitário,Preto,Manual,5.0,18,Nacional,Usados,14350,8089563139.0,3 Julho 2023,5.6,5.0,128.0,3.9,,,,,,,,,Nao,StandVirtual,Yes,,,
Particular,Mercedes-Benz,C 220,d AMG Line,Diesel,10,2017.0,88000.0,2143,170,Carrinha,Preto,Manual,5.0,0,Nacional,Usados,31700,8089431557.0,3 Julho 2023,5.2,5.0,118.0,,,,,Classe C,,,,,Nao,StandVirtual,Yes,,,
Particular,BMW,225,d Pack M Auto,Diesel,1,2018.0,120000.0,1995,224,Coupé,Cinzento,Automática,2.0,0,,Usados,34990,8089897212.0,3 Julho 2023,,,,,,,,Série 2,,,,,Nao,StandVirtual,Yes,,,
Profissional,Kia,Ceed SW,1.6 CRDi EX ISG,Diesel,1,2012.0,250000.0,1582,90,Carrinha,Preto,Manual,5.0,18,Nacional,Usados,5490,8089852847.0,3 Julho 2023,5.2,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited,Gasolina,9,2020.0,45932.0,898,90,Carrinha,Branco,Manual,5.0,18,Nacional,Usados,15800,8089563545.0,3 Julho 2023,6.3,,132.0,4.2,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,VW,Scirocco,1.4 TSI,Gasolina,6,2011.0,137000.0,1390,122,Coupé,Branco,Manual,3.0,18,,Usados,11995,8087401177.0,3 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Fiat,Tipo,1.6 M-Jet Lounge DCT,Diesel,5,2019.0,40271.0,1598,120,Utilitário,Branco,Automática,5.0,18,Nacional,Usados,19750,8089796278.0,3 Julho 2023,,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
