Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Valor Fixo,Possibilidade de financiamento,Origem,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,VIN,IVA Discriminado,Registo(s),Sub-modelo,Inspecção válida até,IUC,Garantia de Fábrica até,Consumo Combinado,Bateria,Autonomia Máxima,Capacidade da bateria,Autonomia,Consumo,ou até,Site,Portugal,Data
Profissional,Renault,Kadjar,Diesel,Outubro,2019,138 372 km,1 461 cm3,115 cv,SUV / TT,Prateado,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,19 390,8090827248,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-kadjar-1-5-dci-intens-ID8PyhLG.html,1.5 dCi Intens,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Peugeot,308 SW,Diesel,Setembro,2017,131 101 km,1 560 cm3,120 cv,Carrinha,Cinzento,,Automática,,5,5,,,18 Meses,Sim,,Sim,Usados,15 950,8091398715,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-eat6-ID8PAGqT.html,1.6 BlueHDi Allure EAT6,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Peugeot,2008,Gasolina,Fevereiro,2024,10 km,1 199 cm3,102 cv,SUV / TT,Branco,Metalizado,Manual,,5,,,,36 Meses,,,,Usados,26 100,8091956762,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-allure-ID8PD1BE.html,1.2 PureTech Allure,,,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Opel,Mokka,Gasolina,Maio,2023,20 923 km,1 199 cm3,100 cv,SUV / TT,Cinzento,Metalizado,Manual,,5,,,,36 Meses,,,,Usados,23 480,8091956754,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-mokka-1-2-t-gs-ID8PD1Bv.html,1.2 T GS,,,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Peugeot,308 SW,Diesel,Abril,2019,60 120 km,1 499 cm3,130 cv,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,Usados,15 990,8092013765,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PDgr3.html,1.5 BlueHDi Style,Sim,Sim,Nacional,121 g/km,"4,40 l/100km","3,30 l/100km",Mostrar VIN,Sim,1,,15 Abril 2025,"158,29 €",,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Fiat,500,Gasolina,Janeiro,2023,14 505 km,1 242 cm3,69 cv,Utilitário,Branco,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,36 Meses,Sim,Sim,Sim,Usados,15 990,8091956750,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8PD1Bs.html,1.2 Lounge S&S,,,Nacional,99 g/km,"6,20 l/100km","4,20 l/100km",Mostrar VIN,,1,,27 Janeiro 2027,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Peugeot,308 SW,Gasolina,Janeiro,2023,18 308 km,1 199 cm3,130 cv,Carrinha,Preto,Metalizado,Manual,,5,,,,36 Meses,,,,Usados,27 500,8091956746,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-2-puretech-active-pack-ID8PD1Bo.html,1.2 PureTech Active Pack,,,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Opel,Crossland X,Gasolina,Abril,2019,89 268 km,1 199 cm3,110 cv,SUV / TT,Cinzento,,Automática,,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,17 900,8091411520,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-crossland-x-1-2-s-s-auto-120-anos-ID8PAJLq.html,1.2 S&S Auto 120 Anos,Sim,Sim,Importado,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Peugeot,2008,Diesel,Março,2020,124 266 km,1 499 cm3,102 cv,SUV / TT,Azul,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,19 950,8089882076,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-5-bluehdi-active-ID8PujSY.html,1.5 BlueHDi Active,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,BMW,320,Diesel,Fevereiro,2017,65 151 km,1 995 cm3,190 cv,Carrinha,Cinzento,,Automática,,5,5,,,18 Meses,Sim,,Sim,Usados,27 890,8088557444,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-advantage-auto-ID8PoLhV.html,d Touring Advantage Auto,Sim,Sim,Nacional,,,,,,,Série 3,,,,,,,,,,,StandVirtual,Yes,2024-03-16
