Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,IUC,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Sub-modelo,Garantia de Fábrica até,ou até,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Consumo,Site,Portugal,Data
Profissional,Renault,Mégane,1.5 Blue dCi Intens,Diesel,Novembro,2020,29 000 km,1 461 cm3,115 cv,Utilitário,Branco,Mate,Manual,,5,,Tracção dianteira,,,,Importado,,,Sim,"7,20 l/100km",,Usados,,18 500,8088036019,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-blue-dci-intens-ID8PmzDR.html,,,Sim,,24 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Citroën,C3 Aircross,1.2 PureTech C-Series,Gasolina,Outubro,2022,20 500 km,1 199 cm3,110 cv,SUV / TT,Cinzento,,Manual,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,17 890,8091081793,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-aircross-1-2-puretech-c-series-ID8PzlZf.html,Sim,,Sim,,36 Meses,,,7 Março 2027,,,,,,"6,20 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,Opel,Corsa,1.2 Business,Gasolina,Janeiro,2023,6 900 km,1 199 cm3,75 cv,Utilitário,Branco,,Manual,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,17 490,8090660605,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-business-ID8PxApT.html,Sim,,Sim,,36 Meses,,,7 Março 2027,,,,,,"5,20 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,BMW,i3,,Eléctrico,Outubro,2015,57 596 km,,170 cv,Citadino,Cinzento,,Automática,,5,4,Tracção dianteira,,,29 Outubro 2024,Nacional,,,,,,Usados,Mostrar VIN,19 900,8090326069,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-i3-ID8Pvbo9.html,,Sim,Sim,Classe 1,18 Meses,,Série i,,,,150 km,64 kWh,Própria,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Qashqai,1.3 DIG-T Acenta,Gasolina,Setembro,2023,1 590 km,1 332 cm3,140 cv,SUV / TT,Prateado,,Manual,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,29 990,8090868144,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-3-dig-t-acenta-ID8Pyspi.html,Sim,,Sim,,36 Meses,,,7 Março 2027,,,,,,"6,30 l/100km",,StandVirtual,Yes,2024-03-07
Particular,Toyota,Auris Touring Sports,1.8 HSD Comfort +P.Techno+P.Sport,Híbrido (Gasolina),Abril,2018,92 000 km,1 798 cm3,136 cv,Carrinha,Cinzento,,Automática,,5,5,,,,30 Abril 2024,Nacional,Sim,,Sim,"3,90 l/100km",,Usados,,16 000,8091969453,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-auris-touring-sports-1-8-hsd-comfort-p-techno-p-sport-ID8PD4Ul.html,Sim,,,Classe 1,,,,1 Abril 2028,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Hyundai,Ioniq,,Eléctrico,Abril,2019,50 656 km,,136 cv,Sedan,Preto,,Automática,6,5,5,Tracção dianteira,,,1 Abril 2025,Importado,Sim,,Sim,,,Usados,,19 950,8089879136,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-ioniq-ID8Puj7y.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,VW,Golf,1.6 TDI BlueMotion DSG Lounge,Diesel,Dezembro,2015,152 500 km,1 598 cm3,110 cv,Citadino,Prateado,,Automática,,5,5,,,,,Importado,,,Sim,,,Usados,,16 900,8091173043,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-bluemotion-dsg-lounge-ID8PzJJ1.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,SEAT,Ibiza,1.0 TSI Style,Gasolina,Maio,2021,51 392 km,999 cm3,95 cv,Citadino,Vermelho,Metalizado,Manual,5,5,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,,16 500,8091158759,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-tsi-style-ID8PzG0D.html,Sim,,,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Audi,A3 Sportback,30 TFSI Sport S tronic,Gasolina,Maio,2019,74 000 km,999 cm3,116 cv,Utilitário,Cinzento,Metalizado,Automática,5,5,5,Tracção dianteira,,,,Nacional,,,Sim,"5,80 l/100km",,Usados,,22 500,8088180201,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-30-tfsi-sport-s-tronic-ID8Pnb9n.html,,,Sim,Classe 1,24 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Micra,1.0 IG-T Acenta,Gasolina,Dezembro,2022,3 900 km,999 cm3,92 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,,,Usados,,17 500,8090432006,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-acenta-ID8PvCVO.html,,,Sim,Classe 1,24 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,GLA 180,d Urban Aut.,Diesel,Janeiro,2017,52 428 km,1 461 cm3,109 cv,SUV / TT,Prateado,Metalizado,Automática,,5,5,,,,,,,,Sim,,,Usados,,24 990,8091406043,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-gla-180-d-urban-aut-ID8PAIl5.html,Sim,,Sim,Classe 1,18 Meses,,Classe GLA,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,CLA 180,d Urban,Diesel,Janeiro,2015,121 904 km,1 461 cm3,109 cv,Sedan,Cinzento,Metalizado,Manual,6,4,5,,,,,Nacional,,,Sim,,,Usados,,17 990,8091406048,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-urban-ID8PAIla.html,Sim,,Sim,,18 Meses,,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line,Diesel,Outubro,2018,68 000 km,1 461 cm3,109 cv,Carrinha,Cinzento,,Manual,,5,5,,,,,Nacional,,,,"4,60 l/100km",,Usados,,25 990,8087622487,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-shooting-brake-amg-line-ID8PkQ3Z.html,Sim,,,,18 Meses,,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,216 Gran Coupé,d Pack M,Diesel,Julho,2022,16 000 km,1 496 cm3,116 cv,Sedan,Preto,Metalizado,Automática,7,4,5,Tracção dianteira,124 g/km,"154,12 €",,Nacional,Sim,Sim,Sim,,,Usados,,35 450,8091171262,1 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-coup-d-pack-m-ID8PzJgi.html,Sim,,Sim,Classe 1,24 Meses,1,Série 2,4 Julho 2025,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,430,i Line Sport Auto,Gasolina,Janeiro,2018,96 000 km,1 998 cm3,252 cv,Cabrio,Preto,,Automática,,2,4,,,,,Nacional,,,Sim,,,Usados,,42 500,8090778319,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-430-i-line-sport-auto-ID8Py52w.html,,,Sim,,18 Meses,,Série 4,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,A 200,AMG Line Aut.,Gasolina,Maio,2022,6 213 km,1 332 cm3,163 cv,Utilitário,Preto,,Automática,7,5,,Tracção dianteira,,,,Nacional,,,,,,Usados,,35 800,8089160053,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-200-amg-line-aut-ID8Pri3r.html,,Sim,Sim,Classe 1,36 Meses,,Classe A,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Tesla,Model 3,Standard Range Plus RWD,Eléctrico,Maio,2021,65 465 km,,238 cv,Sedan,Branco,,Automática,1,4,,Tracção traseira,,,,,,,,,,Usados,Mostrar VIN,30 499,8091174722,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-3-standard-range-plus-rwd-ID8PzKa6.html,,,,,,,,,,,448 km,54 kWh,Própria,,16 kWh/100km,StandVirtual,Yes,2024-03-07
Particular,Mercedes-Benz,180,,Diesel,Setembro,2021,62 000 km,1 950 cm3,116 cv,Carrinha,Preto,Metalizado,Automática,8,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,,,Usados,Mostrar VIN,29 900,8091750734,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-180-ID8PCa0C.html,,,,Classe 1,,,,20 Setembro 2024,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Mercedes-Benz,CLA 200,d Shooting Brake Progressive Aut.,Diesel,Dezembro,2019,22 000 km,1 950 cm3,150 cv,Carrinha,Preto,Metalizado,Automática,,5,,,,,6 Dezembro 2025,Nacional,Sim,Sim,Sim,,,Usados,,32 500,8090293788,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-shooting-brake-progressive-aut-ID8Pv2Zu.html,Sim,,,,,1,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,MINI,Electric,Cooper SE Premium Extra Classic,Eléctrico,Março,2023,16 000 km,,184 cv,Utilitário,Preto,,Automática,,3,4,,,,,Nacional,,,,,,Usados,Mostrar VIN,33 800,8090259859,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-electric-cooper-se-premium-extra-classic-ID8PwUaf.html,Sim,,Sim,,36 Meses,,,7 Março 2027,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,520,d Pack M Auto,Diesel,Junho,2018,83 000 km,1 995 cm3,190 cv,Carrinha,Cinzento,Metalizado,Automática,8,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,,,Usados,,36 500,8088434396,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8Pofhi.html,Sim,Sim,Sim,Classe 1,18 Meses,1,Série 5,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,MG,MG5,61 kWh Comfort,Eléctrico,Janeiro,2023,3 580 km,,156 cv,Carrinha,Branco,Pérola,Automática,7,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,Sim,,,Usados,,33 900,8089555637,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mg-mg5-61-kwh-comfort-ID8PsVXP.html,Sim,Sim,Sim,Classe 1,84 Meses,,,11 Janeiro 2030,150 000 km,,400 km,61 kWh,Própria,,"17,50 kWh/100km",StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line Aut.,Diesel,Maio,2020,97 727 km,1 461 cm3,116 cv,Carrinha,Dourado,Metalizado,Automática,7,5,5,Tracção dianteira,125 g/km,,,Nacional,Sim,Sim,Sim,,,Usados,,36 490,8091084195,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-shooting-brake-amg-line-aut-ID8PzmBZ.html,Sim,,Sim,,24 Meses,,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,X1,16 d sDrive xLine Auto,Diesel,Abril,2022,61 000 km,1 496 cm3,116 cv,SUV / TT,Branco,,Automática,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,44 900,8091082123,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-xline-auto-ID8Pzm4z.html,Sim,,Sim,,36 Meses,,Série X,7 Março 2027,,,,,,"5,10 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,Opel,Astra,1.6 T PHEV Elegance,Híbrido Plug-In,Janeiro,2023,17 000 km,1 598 cm3,180 cv,Utilitário,Preto,,Automática,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,30 990,8090146527,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-t-phev-elegance-ID8PwqGj.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Mercedes-Benz,E 220,D AMG Line,Diesel,Julho,2018,178 000 km,1 950 cm3,194 cv,Coupé,Vermelho,Metalizado,Automática,9,4,4,Tracção traseira,138 g/km,,,Nacional,Sim,Sim,Sim,"5,70 l/100km","4,10 l/100km",Usados,,39 000,8091386116,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-line-ID8PAD9G.html,Sim,,,Classe 1,,,Classe E,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,CLA 180,d Shooting Brake AMG Line Aut.,Diesel,Dezembro,2021,3 600 km,1 950 cm3,116 cv,Carrinha,Branco,Metalizado,Automática,,5,,,,,,Nacional,Sim,Sim,Sim,"5,50 l/100km",,Usados,,43 900,8091101363,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-180-d-shooting-brake-amg-line-aut-ID8Pzr4T.html,,,Sim,,18 Meses,1,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,DS,DS4,1.2 PureTech Performance Line EAT8,Gasolina,Abril,2023,2 980 km,1 199 cm3,130 cv,Utilitário,Cinzento,,Automática,7,5,5,,,,,Nacional,,,Sim,,,Usados,,36 950,8090677836,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ds-ds4-1-2-puretech-performance-line-eat8-ID8PxETO.html,Sim,,Sim,Classe 1,36 Meses,1,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,C 220,d Avantgarde,Diesel,Setembro,2020,60 230 km,1 950 cm3,194 cv,Carrinha,Cinzento,Metalizado,Automática,9,5,5,Tracção traseira,,,,Nacional,Sim,Sim,Sim,,,Usados,,38 300,8087431038,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-220-d-avantgarde-ID8Pk2g6.html,Sim,,,Classe 1,18 Meses,1,Classe C,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,CLA 200,d Shooting Brake 8G-DCT AMG Line,Diesel,Maio,2020,43 300 km,1 950 cm3,150 cv,Carrinha,Preto,Metalizado,Automática,8,5,5,Tracção dianteira,,,,Importado,Sim,Sim,Sim,,,Usados,,37 300,8087296169,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-shooting-brake-8g-dct-amg-line-ID8PjtaN.html,Sim,,Sim,Classe 1,18 Meses,1,Classe CLA,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Jaguar,I-Pace,EV400 AWD HSE,Eléctrico,Dezembro,2018,83 000 km,,400 cv,SUV / TT,Cinzento,Metalizado,Automática,1,5,,Integral,,,,,Sim,Sim,Sim,,,Usados,,33 990,8091820491,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-ev400-awd-hse-ID8PCs9J.html,Sim,Sim,,Classe 1,18 Meses,,,,,,420 km,,Própria,,,StandVirtual,Yes,2024-03-07
Profissional,Jaguar,I-Pace,First Edition AWD Aut.,Eléctrico,Novembro,2018,86 000 km,,400 cv,SUV / TT,Preto,,Automática,9,5,5,,,,,,Sim,Sim,Sim,,,Usados,,36 990,8091025002,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-first-edition-awd-aut-ID8Pz7dg.html,Sim,,Sim,Classe 1,36 Meses,,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,518,d Line Sport Auto,Diesel,Setembro,2019,126 000 km,1 995 cm3,150 cv,Carrinha,Preto,,Automática,8,5,5,,157 g/km,,,,Sim,Sim,Sim,,,Usados,,32 900,8090819405,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-518-d-line-sport-auto-ID8PyfJb.html,Sim,,Sim,Classe 1,18 Meses,,Série 5,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,520,d Line Sport Auto,Diesel,Outubro,2018,110 000 km,1 995 cm3,190 cv,Carrinha,Bege,,Automática,8,5,5,,159 g/km,,,,,Sim,Sim,,,Usados,,31 800,8090744359,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-520-d-line-sport-auto-ID8PxVcL.html,Sim,,Sim,Classe 1,18 Meses,,Série 5,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,330,,Híbrido (Gasolina),Março,2020,82 200 km,1 998 cm3,292 cv,Sedan,Cinzento,,Automática,,4,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,36 900,8091082104,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-330-ID8Pzm4g.html,Sim,,Sim,,36 Meses,,Série 3,7 Março 2027,,,,,,"1,40 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,Mitsubishi,Eclipse Cross,,Híbrido (Gasolina),Novembro,2022,29 526 km,2 360 cm3,202 cv,SUV / TT,Cinzento,Metalizado,Automática,7,5,5,Integral,46 g/km,,,Nacional,Sim,Sim,Sim,,,Usados,Mostrar VIN,36 990,8090279719,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-eclipse-cross-ID8PwZkz.html,Sim,Sim,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Land Rover,Range Rover Evoque,1.5 P300e AWD SE Auto,Híbrido Plug-In,Outubro,2020,39 710 km,1 498 cm3,309 cv,SUV / TT,Branco,,Automática,8,5,5,Integral,33 g/km,,,,Sim,Sim,Sim,,,Usados,Mostrar VIN,42 990,8091750892,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-evoque-1-5-p300e-awd-se-auto-ID8PCa3a.html,Sim,Sim,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Audi,Q4 e-tron,35 55 kWH,Eléctrico,Outubro,2021,26 690 km,,170 cv,SUV / TT,Cinzento,,Automática,1,5,5,Tracção traseira,,,1 Outubro 2025,,Sim,Sim,Sim,,,Usados,Mostrar VIN,37 990,8090641223,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-q4-e-tron-35-55-kwh-ID8Pxwnh.html,Sim,Sim,,,18 Meses,,,,,,313 km,55 kWh,Própria,,17 kWh/100km,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,A 180 Limousine,d AMG Line Aut.,Diesel,Março,2019,38 800 km,1 461 cm3,116 cv,Sedan,Branco,Pérola,Automática,,4,,,,,,,Sim,,Sim,"4,70 l/100km",,Usados,,34 990,8091598096,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-limousine-d-amg-line-aut-ID8PBviI.html,Sim,,Sim,,18 Meses,,Classe A,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,VW,Golf,2.0 TSI GTi TCR DSG,Gasolina,Junho,2019,66 000 km,1 984 cm3,290 cv,Utilitário,Cinzento,,Automática,,5,5,Tracção dianteira,,,,,Sim,Sim,,,,Usados,,37 999,8091617617,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-2-0-tsi-gti-tcr-dsg-ID8PBBnz.html,Sim,,Sim,Classe 1,36 Meses,,,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Tesla,Model Y,Long Range Tração Integral,Eléctrico,Junho,2022,49 325 km,,351 cv,SUV / TT,Branco,Metalizado,Automática,,5,5,,,,,,,,,,,Usados,Mostrar VIN,42 990,8091752469,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/tesla-model-y-long-range-trao-integral-ID8PCasB.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack EAT8,Diesel,Abril,2021,33 500 km,1 499 cm3,130 cv,SUV / TT,Cinzento,,Automática,,5,7,,,,,Nacional,,,,,,Usados,Mostrar VIN,38 490,8090986946,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-pack-eat8-ID8PyXjs.html,Sim,,Sim,,36 Meses,,,7 Março 2027,,,,,,"5,40 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,308 SW,1.5 BlueHDi Allure Pack EAT8,Diesel,Maio,2022,41 250 km,1 499 cm3,130 cv,Carrinha,Preto,,Automática,,5,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,32 990,8090660242,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-allure-pack-eat8-ID8PxAk2.html,Sim,,Sim,,36 Meses,,,7 Março 2027,,,,,,"4,60 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,BMW,i3,s 120Ah,Eléctrico,Agosto,2021,32 129 km,,184 cv,Citadino,Branco,,Automática,6,5,4,Tracção traseira,,,31 Agosto 2025,,Sim,Sim,Sim,,,Usados,Mostrar VIN,30 700,8091876190,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-i3-s-120ah-ID8PCGE6.html,Sim,,Sim,Classe 1,36 Meses,1,Série i,7 Agosto 2027,,,275 km,40 kWh,Própria,14 l/100km,15 kWh/100km,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,A 200 Limousine,AMG Line Aut.,Gasolina,Maio,2023,2 200 km,1 332 cm3,163 cv,Sedan,Preto,,Automática,,4,5,,,,,Nacional,,,,,,Usados,Mostrar VIN,40 000,8091130323,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-200-limousine-amg-line-aut-ID8PzyBZ.html,Sim,,,,24 Meses,,Classe A,,,,,,,"5,70 l/100km",,StandVirtual,Yes,2024-03-07
Profissional,BMW,216 Gran Coupé,d Pack M,Diesel,Maio,2021,80 520 km,1 496 cm3,116 cv,Coupé,Cinzento,,Automática,,4,,,,,,Nacional,,,,,,Usados,,32 499,8090835587,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-coup-d-pack-m-ID8PyjVb.html,Sim,,Sim,,36 Meses,,Série 2,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,DS,DS4,1.5 BlueHDi Bastille + EAT8,Diesel,Janeiro,2023,21 000 km,1 499 cm3,130 cv,Utilitário,Preto,,Automática,,5,5,,,,,Nacional,Sim,,Sim,,,Usados,Mostrar VIN,32 990,8091103900,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ds-ds4-1-5-bluehdi-bastille-eat8-ID8PzrJO.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,VW,Tiguan Allspace,2.0 TDI Confortline DSG,Diesel,Junho,2021,49 000 km,1 968 cm3,150 cv,SUV / TT,Cinzento,,Automática,,5,7,,,,,Nacional,Sim,,Sim,,,Usados,Mostrar VIN,38 990,8090998742,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-tiguan-allspace-2-0-tdi-confortline-dsg-ID8Pz0nI.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,E 220,D Avantgarde,Diesel,Maio,2018,81 000 km,1 950 cm3,194 cv,Sedan,Cinzento,,Automática,,4,5,,,,,Nacional,Sim,Sim,Sim,,,Usados,Mostrar VIN,37 990,8090998739,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-avantgarde-ID8Pz0nF.html,Sim,,Sim,Classe 1,18 Meses,,Classe E,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Land Rover,Range Rover Evoque,2.0 D150 AWD R-Dynamic S Auto,Diesel,Dezembro,2019,63 000 km,1 999 cm3,150 cv,SUV / TT,Cinzento,Metalizado,Automática,9,5,5,Integral,180 g/km,,,Nacional,Sim,Sim,Sim,"6,60 l/100km","5,10 l/100km",Usados,,40 900,8091299239,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-evoque-2-0-d150-awd-r-dynamic-s-auto-ID8PAgyr.html,Sim,,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,520,d Line Luxury Auto,Diesel,Dezembro,2019,113 659 km,1 995 cm3,190 cv,Carrinha,Cinzento,Metalizado,Automática,8,5,5,Tracção traseira,135 g/km,,25 Dezembro 2025,Nacional,Sim,Sim,Sim,,,Usados,Mostrar VIN,30 950,8091820285,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-520-d-line-luxury-auto-ID8PCs6p.html,,,,Classe 1,18 Meses,1,Série 5,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack,Diesel,Maio,2021,42 750 km,1 499 cm3,130 cv,SUV / TT,Branco,Pérola,Manual,6,5,7,Tracção dianteira,134 g/km,,,Nacional,Sim,Sim,Sim,"4,60 l/100km","3,70 l/100km",Usados,Mostrar VIN,36 490,8090628209,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-pack-ID8PxrZn.html,Sim,,Sim,,36 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,BMW,640,,Diesel,Março,2014,125 000 km,2 998 cm3,313 cv,Cabrio,Preto,Metalizado,Automática,8,2,4,,,,,,,,Sim,,,Usados,,39 000,8091369611,1 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-640-ID8PAyRt.html,Sim,,,Classe 1,36 Meses,,Série 6,1 Janeiro 0001,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Outubro,2022,30 350 km,1 950 cm3,116 cv,Utilitário,Preto,,Automática,,5,5,,,,,Nacional,Sim,Sim,,,,Usados,,36 900,8090887964,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PyxyY.html,,,Sim,,18 Meses,,Classe A,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Mercedes-Benz,Vito Tourer,114 CDi/32,Diesel,Março,2019,152 880 km,2 143 cm3,136 cv,Monovolume,Branco,Mate,Manual,6,4,9,Tracção traseira,186 g/km,,,Nacional,Sim,Sim,Sim,"8,50 l/100km","5,40 l/100km",Usados,Mostrar VIN,36 500,8091850707,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mercedes-benz-vito-tourer-114-cdi-32-ID8PCA15.html,,,Sim,Classe 2,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
