Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Possibilidade de financiamento,IVA Discriminado,IVA dedutível,Consumo Urbano,Autonomia,Consumo,Bateria,Autonomia Máxima,Filtro de partículas,Emissões CO2,Consumo Extra Urbano,Consumo Combinado,Garantia de Fábrica até,Inspecção válida até,ou até,Capacidade da bateria,Clássico,Site,Portugal
Profissional,Volvo,XC 90,2.0 D4 R-Design,Diesel,Maio,2018,81 992 km,1 969 cm3,190 cv,,Sim,SUV / TT,Cinzento,Metalizado,Automática,8,5,7,Classe 1,Tracção dianteira,226 €,18 Meses,1,,Sim,Sim,Sim,Usados,51 950        EUR,8089446900,3 Julho 2023,,Sim,,,"5,80 l/100km",,,,,,136 g/km,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.0 Hybrid Lounge,Gasolina,Novembro,2020,15 300 km,999 cm3,70 cv,Sim,Sim,Pequeno citadino,Branco,,Manual,6,3,4,Classe 1,,,18 Meses,1,,,Sim,Sim,Usados,15 790        EUR,8088849146,3 Julho 2023,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Break,"1.5-dci-(km16,-km1e)",Diesel,Outubro,2007,252 000 km,1 461 cm3,106 cv,,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,2,Nacional,,Sim,,Usados,4 999        EUR,8089949337,3 Julho 2023,,Sim,,,,,,,,,,,,,21/10/2023,,,,StandVirtual,Yes
Profissional,Jeep,Wrangler Unlimited,2.8 CRD ATX Sahara Limited,Diesel,Abril,2009,140 000 km,2 777 cm3,177 cv,Sim,Sim,SUV / TT,Preto,,Automática,5,4,5,,Integral,,18 Meses,,Nacional,Sim,Sim,Sim,Usados,42 999        EUR,8089945660,3 Julho 2023,,Sim,,,"12,10 l/100km",,,,,,252 g/km,8 l/100km,,,,,,,StandVirtual,Yes
Profissional,Ferrari,F430,Spider F1,Gasolina,Maio,2008,58 000 km,4 308 cm3,490 cv,Sim,Sim,Cabrio,Vermelho,,Manual,6,2,2,,Tracção traseira,,18 Meses,,,Sim,Sim,Sim,Usados,134 999        EUR,8089945661,3 Julho 2023,,Sim,,,21 l/100km,,,,,,420 g/km,"12,20 l/100km",,,,,,,StandVirtual,Yes
Particular,Ford,Focus SW,,Diesel,Agosto,2015,140 000 km,1 498 cm3,95 cv,,,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,1,,,Sim,Sim,Usados,9 900        EUR,8089946532,3 Julho 2023,,,,,"4,30 l/100km",,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Tucson,1.6 CRDi Premium,Diesel,Junho,2022,16 000 km,1 598 cm3,116 cv,Sim,,SUV / TT,Preto,,Manual,,5,5,,,,36 Meses,,Nacional,,,,Usados,36 650        EUR,8089794115,3 Julho 2023,,,,,,,,,,,,,"5,30 l/100km",,,,,,StandVirtual,Yes
Profissional,MINI,Countryman,Cooper SD Auto,Diesel,Outubro,2017,100 000 km,1 995 cm3,190 cv,Sim,Sim,SUV / TT,Vermelho,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,,Sim,Sim,Usados,24 900        EUR,8088437746,1 Julho 2023,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLA 180,d Urban,Diesel,Março,2018,150 000 km,1 461 cm3,109 cv,,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,,36 Meses,1,,Sim,Sim,Sim,Usados,22 990        EUR,8089559242,3 Julho 2023,Classe GLA,Sim,,,"4,80 l/100km",,,,,Sim,113 g/km,4 l/100km,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,1.5 BlueHDi Allure EAT8,Diesel,Junho,2018,120 000 km,1 499 cm3,130 cv,Sim,Sim,Utilitário,Preto,Metalizado,Automática,8,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Sim,Sim,Usados,17 750        EUR,8088773443,3 Julho 2023,,,,Sim,,,,,,Sim,,,,,,,,,StandVirtual,Yes
