Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,Classe do veículo,Autonomia Máxima,Emissões CO2,Inspecção válida até,Filtro de partículas,IVA Discriminado,Consumo Extra Urbano,Sub-modelo,IUC,ou até,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Garantia de Fábrica até,Consumo,Clássico,Gancho de Reboque,Site,Portugal
Profissional,Mercedes-Benz,A 160,AMG Line,Gasolina,Abril,2021,46 500 km,1 332 cm3,109 cv,Sim,Sim,Utilitário,Branco,,Manual,6,5,5,Tracção dianteira,18 Meses,,Nacional,,,Sim,,Usados,32 450        EUR,8089805959,6 Setembro 2023,,Classe 1,,,,,,,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,DS,DS7 Crossback,E-Tense Performance Line EAT8,Híbrido (Gasolina),Março,2022,16 313 km,1 598 cm3,225 cv,,Sim,SUV / TT,Preto,,Automática,,5,5,,36 Meses,,,,,,,Usados,42 900        EUR,8089203523,6 Setembro 2023,Sim,,,,,,,,,,,,,,"1,40 l/100km",,,,,StandVirtual,Yes
Profissional,VW,Passat Variant,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Maio,2020,115 800 km,1 395 cm3,218 cv,Sim,Sim,Carrinha,Preto,,Automática,6,5,5,Tracção dianteira,18 Meses,,Importado,,,,,Usados,34 500        EUR,8089890865,6 Setembro 2023,,,,27 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,520,d Pack M Auto,Diesel,Julho,2019,114 000 km,1 995 cm3,190 cv,Sim,Sim,Carrinha,Azul,Metalizado,Automática,8,5,5,Tracção traseira,18 Meses,1,,Sim,Sim,Sim,"5,50 l/100km",Usados,38 250        EUR,8087595489,6 Setembro 2023,Sim,Classe 1,,164 g/km,,,,,Série 5,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 200,d AMG Line Aut.,Diesel,Agosto,2019,41 000 km,1 950 cm3,150 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,5,,18 Meses,1,,Sim,Sim,Sim,5 l/100km,Usados,34 500        EUR,8087503827,6 Setembro 2023,Sim,,,,,Sim,,,Classe A,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,SLC 200,9G-TRONIC,Gasolina,Junho,2016,29 100 km,1 991 cm3,184 cv,,,Cabrio,Cinzento,Metalizado,Automática,9,2,2,Tracção traseira,18 Meses,1,,Sim,Sim,Sim,"8,60 l/100km",Usados,32 700        EUR,8090179805,6 Setembro 2023,,Classe 1,,137 g/km,,Sim,,"5,40 l/100km",Classe SLC,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A8,3.0 TDi V6 quattro Longo Clean Diesel,Diesel,Dezembro,2014,139 120 km,2 967 cm3,258 cv,Sim,Sim,Sedan,Cinzento,,Automática,8,4,5,,18 Meses,,,Sim,,Sim,,Usados,36 950        EUR,8089117270,6 Setembro 2023,,Classe 1,,,01/12/2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,GLC 220,d 4Matic 9G-TRONIC AMG Line,Diesel,Março,2017,121 000 km,2 143 cm3,170 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,9,5,5,,18 Meses,,,,Sim,Sim,,Usados,42 900        EUR,8089509127,6 Setembro 2023,Sim,Classe 1,,,,Sim,,,Classe GLC,,,,,,,,,,,StandVirtual,Yes
Profissional,Cupra,Born,58 kWh,Eléctrico,Setembro,2022,11 200 km,,204 cv,Sim,Sim,Utilitário,Azul,Metalizado,Automática,,5,5,,18 Meses,1,Importado,Sim,Sim,Sim,,Usados,36 500        EUR,8089832215,6 Setembro 2023,Sim,,,,,,,,,,,424 km,,Própria,,,150 kWh/100km,,,StandVirtual,Yes
Profissional,BMW,420 Gran Coupé,d Pack M Auto,Diesel,Março,2018,129 000 km,1 995 cm3,190 cv,Sim,Sim,Sedan,Preto,Metalizado,Automática,,5,5,,18 Meses,,,Sim,Sim,Sim,,Usados,33 900        EUR,8087305686,6 Setembro 2023,Sim,Classe 1,,,,Sim,,,Série 4,,,,,,,,,,,StandVirtual,Yes
