Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Garantia de Fábrica até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Origem,Registo(s),Tracção,Emissões CO2,IUC,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Filtro de partículas,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Valor sem ISV,ou até,Consumo,Clássico,Site,Portugal
Profissional,SEAT,Leon ST,Gasolina,Setembro,2017,145 820 km,999 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,,Sim,Usados,14 900        EUR,8089008781,12 Julho 2023,1.0 EcoTSI Style S/S,Importado,,Tracção dianteira,,,,"5,60 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,208,Gasolina,Junho,2016,85 000 km,1 199 cm3,82 cv,,,,Citadino,Branco,,Manual,5,5,5,Classe 1,,,,,,Usados,9 350        EUR,8088538353,12 Julho 2023,1.2 PureTech Style,Importado,,Tracção dianteira,,,,"5,50 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Punto,Gasolina,Novembro,2015,99 000 km,1 200 cm3,75 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,5,5,Classe 1,,18 Meses,,,Sim,Usados,8 900        EUR,8088671928,12 Julho 2023,,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,Diesel,Novembro,2010,184 128 km,1 598 cm3,105 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,,5,5,,01/01/0001,36 Meses,,,,Usados,7 749        EUR,8089924219,12 Julho 2023,1.6 TDi Trendline,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,Gasolina,Julho,2017,125 749 km,1 199 cm3,82 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,,5,5,,,18 Meses,,,,Usados,11 999        EUR,8089924216,12 Julho 2023,1.2 PureTech Feel,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,Gasolina,Maio,2014,115 239 km,898 cm3,90 cv,Sim,Sim,Sim,Utilitário,Preto,,Manual,5,5,5,Classe 1,,18 Meses,,,Sim,Usados,8 750        EUR,8089663372,12 Julho 2023,0.9 TCe Confort,Nacional,1,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Diesel,Janeiro,2016,147 000 km,1 461 cm3,90 cv,,,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,11 990        EUR,8090031984,12 Julho 2023,1.5 dCi Limited,,1,Tracção dianteira,85 g/km,,27/01/2024,"4,30 l/100km","3,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,Diesel,Fevereiro,2016,157 000 km,1 461 cm3,110 cv,Sim,Sim,Sim,SUV / TT,Vermelho,Metalizado,Manual,6,5,5,,,18 Meses,Sim,Sim,Sim,Usados,14 900        EUR,8089028606,12 Julho 2023,1.5 dCi Tekna Premium Ext.1 Red D.,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,Diesel,Fevereiro,2013,162 808 km,1 598 cm3,90 cv,Sim,Sim,Sim,Citadino,Castanho,Metalizado,Manual,6,3,4,Classe 1,,18 Meses,,,Sim,Usados,12 500        EUR,8089036068,12 Julho 2023,D,Importado,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Grand Scénic,Diesel,Abril,2010,300 000 km,1 461 cm3,110 cv,,Sim,,Monovolume,Cinzento,Metalizado,Manual,6,5,7,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,6 250        EUR,8089923840,12 Julho 2023,1.5 dCi Dynamique S 7L,Nacional,1,Tracção dianteira,128 g/km,,25/04/2024,"5,80 l/100km","4,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
