Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Inspecção válida até,Garantia de Stand (incl. no preço),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,IVA dedutível,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,IVA Discriminado,Tipo de cor,Valor Fixo,Garantia de Fábrica até,Filtro de partículas,ou até,Autonomia Máxima,IUC,Sub-modelo,Consumo Combinado,Autonomia,Consumo,Bateria,Capacidade da bateria,Site,Portugal
Profissional,VW,Polo,1.4 TDi BlueMotion,Diesel,Janeiro,2018,131 000 km,1 422 cm3,75 cv,Sim,Sim,Citadino,Preto,Manual,5,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,13 500        EUR,8088784862,4 Julho 2023,,Tracção dianteira,,1,,Sim,,,,Metalizado,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mazda,2,1.5 Sky.Excellence Navi,Diesel,Maio,2016,98 000 km,1 499 cm3,105 cv,Sim,Sim,Citadino,Branco,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,13 250        EUR,8088014199,4 Julho 2023,,Tracção dianteira,,2,Importado,Sim,"3,80 l/100km",,,Metalizado,,,,20 000 km,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Clubman,Cooper,Gasolina,Setembro,2014,245 000 km,1 598 cm3,122 cv,Sim,Sim,Carrinha,Branco,Manual,6,5,4,Classe 1,01/09/2023,18 Meses,Sim,Sim,Usados,10 500        EUR,8088133014,4 Julho 2023,,Tracção dianteira,,1,Importado,Sim,7 l/100km,,,Metalizado,,,,20 000 km,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Scénic,1.5 dCi Sport SS,Diesel,Novembro,2012,212 000 km,1 461 cm3,110 cv,Sim,Sim,Monovolume,Preto,Manual,6,5,5,Classe 1,01/08/2023,18 Meses,Sim,Sim,Usados,9 250        EUR,8087699901,4 Julho 2023,,Tracção dianteira,,2,,Sim,"4,50 l/100km",,,Metalizado,,,Sim,20 000 km,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Laguna Break,1.5 dCi Confort,Diesel,Junho,2011,176 300 km,1 461 cm3,110 cv,Sim,,Carrinha,Preto,Manual,6,5,,,,18 Meses,,Sim,Usados,6 250        EUR,8089958895,4 Julho 2023,,Tracção dianteira,133 g/km,,,,"6,20 l/100km","4,60 l/100km",,Metalizado,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,Partner,1.6 BlueHDi Confort ETG6,Diesel,Julho,2018,127 126 km,1 560 cm3,100 cv,Sim,Sim,Carrinha,Branco,Automática,,5,3,,,18 Meses,Sim,Sim,Usados,13 900        EUR,8089804002,4 Julho 2023,,Tracção dianteira,109 g/km,1,,Sim,"4,30 l/100km","4,10 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Audi,A4 Avant,2.0 TDI,Diesel,Novembro,2012,192 000 km,1 968 cm3,136 cv,,,Carrinha,Cinzento,Manual,6,5,5,Classe 1,,,Sim,Sim,Usados,13 500        EUR,8089955659,4 Julho 2023,,Tracção dianteira,116 g/km,1,,,"5,30 l/100km","3,90 l/100km",,Metalizado,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Dynamique,Diesel,Abril,2010,130 000 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Manual,,5,,,,18 Meses,,,Usados,8 480        EUR,8088867018,4 Julho 2023,,,,,,,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,1.6 TDCi Titanium,Diesel,Outubro,2012,172 695 km,1 560 cm3,115 cv,Sim,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,29/10/2023,18 Meses,,,Usados,9 950        EUR,8089958777,4 Julho 2023,,,109 g/km,,Nacional,,5 l/100km,4 l/100km,,,Sim,,,,,,,5 l/100km,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Junho,2017,33 619 km,898 cm3,90 cv,Sim,Sim,Citadino,Cinzento,Manual,5,5,5,Classe 1,27/06/2025,18 Meses,,Sim,Usados,14 950        EUR,8089833582,4 Julho 2023,,Tracção dianteira,,1,Nacional,,,,,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
