Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Tracção,Autonomia Máxima,Emissões CO2,Origem,Garantia de Fábrica até,Inspecção válida até,Número de Mudanças,Tipo de cor,Consumo Urbano,Filtro de partículas,IVA Discriminado,Consumo Combinado,ou até,IUC,Consumo Extra Urbano,Autonomia
Profissional,BMW,530,Série 5,e iPerformance Line Luxury,Híbrido (Gasolina),Abril,2018,96 700 km,1 998 cm3,252 cv,,,,,Sedan,Dourado,Automática,4,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,35 250        EUR,8089604765,1 Junho 2023,Tracção traseira,,33 g/km,Nacional,,01/04/2024,8,Metalizado,,,,,,,,
Profissional,BMW,X5,Série X,40e xDrive,Híbrido (Gasolina),Janeiro,2018,57 850 km,1 997 cm3,313 cv,,,,,SUV / TT,Branco,Automática,5,5,,18 Meses,,,Sim,Sim,Usados,47 900        EUR,8089424051,1 Junho 2023,,,78 g/km,Importado,,,,Metalizado,,,,,,"204,82 €",,
Profissional,Mercedes-Benz,C 300,Classe C,de AMG Line,Híbrido (Diesel),Novembro,2020,68 000 km,1 950 cm3,306 cv,Sim,Sim,Sim,Sim,Carrinha,Branco,Automática,5,5,Classe 1,36 Meses,,,,,Usados,43 750        EUR,8089150218,1 Junho 2023,Tracção traseira,,,,,,9,Metalizado,,Sim,Sim,,,220 €,,
Profissional,Kia,Niro,,1.6 GDI HEV Tech,Híbrido (Gasolina),Junho,2022,18 000 km,1 580 cm3,141 cv,Sim,,Sim,Sim,SUV / TT,Cinzento,Automática,5,5,Classe 1,36 Meses,,Sim,,Sim,Usados,32 350        EUR,8089274702,1 Junho 2023,Tracção dianteira,,,Nacional,,,6,Metalizado,"4,50 l/100km",,,,,,,
Particular,Volvo,V60,,2.4 D6 Summum AWD Phev,Híbrido (Diesel),Junho,2013,205 000 km,2 400 cm3,286 cv,,,,,Carrinha,Branco,Automática,5,5,Classe 1,,2,,Sim,Sim,Usados,14 500        EUR,8088837887,1 Junho 2023,Integral,50 km,,Nacional,,,6,Metalizado,,,,,,,,
Profissional,Mercedes-Benz,C 300,Classe C,de AMG Line,Híbrido (Diesel),Maio,2021,39 000 km,1 950 cm3,306 cv,Sim,,,Sim,Carrinha,Branco,Automática,5,5,Classe 1,18 Meses,,Sim,,Sim,Usados,49 900        EUR,8089532883,1 Junho 2023,Tracção traseira,,,,,,9,,,,Sim,,,,,
Profissional,Peugeot,3008,,1.6 Hybrid4 Allure Pack e-EAT8,Híbrido (Gasolina),Novembro,2021,26 744 km,1 598 cm3,300 cv,Sim,,,Sim,SUV / TT,Cinzento,Automática,5,5,,36 Meses,,,,,Usados,39 900        EUR,8089603373,1 Junho 2023,,,,,,,,,,,,,,,,
Profissional,Porsche,Panamera Sport Turismo,,4 E-Hybrid,Híbrido (Gasolina),Julho,2017,80 000 km,2 894 cm3,462 cv,,,Sim,Sim,Carrinha,Preto,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,89 990        EUR,8089233141,1 Junho 2023,,,,,,,,Metalizado,,,,,,,,54 km
Profissional,VW,Passat,,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Dezembro,2017,69 980 km,1 395 cm3,218 cv,Sim,Sim,Sim,Sim,Sedan,Cinzento,Automática,4,5,Classe 1,36 Meses,1,Sim,Sim,Sim,Usados,23 000        EUR,8089153168,1 Junho 2023,Tracção dianteira,,,Nacional,01/01/2025,31/12/2023,,Metalizado,6 l/100km,,Sim,,,135 €,,
Profissional,Hyundai,Ioniq,,1.6 GDI HEV Hybrid Tech,Híbrido (Gasolina),Maio,2019,149 494 km,1 580 cm3,141 cv,Sim,Sim,,Sim,Utilitário,Preto,Automática,5,5,Classe 1,18 Meses,1,Sim,Sim,,Usados,17 990        EUR,8088765848,1 Junho 2023,Tracção dianteira,,,Nacional,,,6,Metalizado,"3,60 l/100km",,Sim,,,,,
