Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Possibilidade de financiamento,Tipo de cor,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Valor Fixo,Emissões CO2,IUC,Filtro de partículas,Consumo Extra Urbano,Sub-modelo,Garantia de Fábrica até,Consumo Combinado,IVA Discriminado,IVA dedutível,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,ou até,Consumo,Clássico,Site,Portugal
Profissional,BMW,116,d Pack M Auto,Diesel,Maio,2021,71 000 km,1 496 cm3,116 cv,Sim,Utilitário,Preto,Automática,7,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,31 950        EUR,8089851854,4 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,,124 g/km,154 €,,,Série 1,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Jaguar,I-Pace,S AWD Aut.,Eléctrico,Maio,2019,119 000 km,,400 cv,Sim,SUV / TT,Cinzento,Automática,,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,41 500        EUR,8089390598,10 Julho 2023,Sim,,,,18 Meses,1,Sim,,,,,,,,,Sim,,,,,,,Sim,StandVirtual,Yes
Profissional,MINI,Clubman,One D Auto,Diesel,Dezembro,2021,49 000 km,1 496 cm3,116 cv,Sim,Carrinha,Cinzento,Automática,,6,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,31 750        EUR,8089463073,10 Julho 2023,Sim,,,,18 Meses,1,Sim,,"154,12 €",Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Tiguan,1.5 TSI Life,Gasolina,Agosto,2022,10 000 km,1 498 cm3,130 cv,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,Nacional,,Sim,Sim,,Usados,32 900        EUR,8089155582,10 Julho 2023,Sim,Metalizado,,,36 Meses,1,Sim,,,,,,,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Jeep,Wrangler,2.8 CRD ATX Sport,Diesel,Abril,2010,72 049 km,2 777 cm3,177 cv,Sim,SUV / TT,Preto,Automática,,3,2,,Nacional,,,Sim,,Usados,34 850        EUR,8089235952,10 Julho 2023,Sim,,,,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,i3,i3s 94Ah +EXA +Comfort Package Advance,Eléctrico,Julho,2018,55 000 km,,183 cv,Sim,Citadino,Branco,Automática,,5,5,Classe 1,,Sim,Sim,Sim,,Usados,32 250        EUR,8089491306,10 Julho 2023,Sim,Pérola,Tracção traseira,,18 Meses,1,Sim,,,,,Série i,,,,,,,,Própria,,,,StandVirtual,Yes
Profissional,Mazda,3,2.0 Sky-G Homura,Gasolina,Fevereiro,2023,933 km,1 998 cm3,150 cv,Sim,Utilitário,Dourado,Manual,6,5,5,Classe 1,Nacional,Sim,Sim,Sim,"6,10 l/100km",Usados,31 790        EUR,8089093258,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,71 Meses,,,,,,,,26/02/2029,,,,,,,,150 000 km,,,StandVirtual,Yes
Profissional,Peugeot,5008,1.5 BlueHDi Active Pack,Diesel,Maio,2022,34 400 km,1 499 cm3,130 cv,Sim,SUV / TT,Cinzento,Manual,,5,5,Classe 1,,Sim,Sim,Sim,,Usados,34 980        EUR,8089946526,10 Julho 2023,Sim,Metalizado,,,36 Meses,,,,,Sim,,,31/12/2028,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,E 220,BlueTEC Auto,Diesel,Maio,2015,130 000 km,2 143 cm3,170 cv,Sim,Coupé,Preto,Automática,9,2,4,Classe 1,Nacional,Sim,Sim,Sim,"5,60 l/100km",Usados,31 999        EUR,8088875450,10 Julho 2023,Sim,Metalizado,Tracção traseira,,18 Meses,,Sim,,,,,Classe E,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLA 200,d Shooting Brake AMG Line Aut.,Diesel,Fevereiro,2020,40 000 km,1 950 cm3,150 cv,Sim,Carrinha,Preto,Automática,9,5,5,Classe 1,,Sim,Sim,Sim,,Usados,42 990        EUR,8087682234,10 Julho 2023,,Metalizado,,,18 Meses,1,Sim,138 g/km,,Sim,,Classe CLA,,,,,,,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,Stelvio,2.2 D Super AT8,Diesel,Agosto,2018,37 300 km,2 143 cm3,180 cv,Sim,SUV / TT,Cinzento,Automática,8,5,5,,Nacional,Sim,Sim,Sim,,Usados,34 900        EUR,8090010881,10 Julho 2023,Sim,Metalizado,Tracção traseira,,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Alhambra,2.0 TDi Xcellence DSG,Diesel,Janeiro,2020,55 050 km,1 968 cm3,150 cv,,Monovolume,Preto,Automática,,5,7,,Nacional,,,,,Usados,35 990        EUR,8088684712,10 Julho 2023,,,,,18 Meses,,Sim,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,BMW,225xe Active Tourer,Pack M,Híbrido (Gasolina),Janeiro,2020,39 787 km,1 499 cm3,224 cv,Sim,Monovolume,Azul,Automática,8,5,5,Classe 1,Importado,Sim,Sim,Sim,,Usados,33 000        EUR,8089848242,10 Julho 2023,Sim,Metalizado,Integral,,18 Meses,1,Sim,36 g/km,,,,Série 2,,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 Hybrid GT e-EAT8,Híbrido (Gasolina),Fevereiro,2021,55 000 km,1 598 cm3,225 cv,,SUV / TT,Branco,Automática,,5,5,,Nacional,,,,,Usados,39 990        EUR,8089516933,10 Julho 2023,,,,,36 Meses,,Sim,,,,,,10/07/2026,"1,40 l/100km",,,,,,,,,,StandVirtual,Yes
Profissional,BMW,X4,30 d xDrive XLine,Diesel,Abril,2017,105 000 km,2 993 cm3,258 cv,Sim,SUV / TT,Cinzento,Automática,,5,5,,Nacional,Sim,Sim,Sim,"6,50 l/100km",Usados,39 990        EUR,8089196363,10 Julho 2023,Sim,,Integral,,18 Meses,1,Sim,,,,,Série X,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V60,2.0 T8 AWD TE Inscription,Híbrido (Gasolina),Dezembro,2019,89 000 km,1 969 cm3,392 cv,Sim,Carrinha,Preto,Automática,,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,37 750        EUR,8089510665,10 Julho 2023,Sim,,,,18 Meses,1,Sim,,"215,14 €",Sim,,,,,,Sim,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V90,2.0 T8 Momentum AWD Geartronic,Híbrido (Gasolina),Dezembro,2018,114 000 km,1 969 cm3,392 cv,Sim,Carrinha,Cinzento,Automática,8,5,5,Classe 1,Nacional,,,,,Usados,40 900        EUR,8088153527,10 Julho 2023,Sim,,Integral,,24 Meses,,,,,,,,,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2022,16 000 km,1 950 cm3,116 cv,,Utilitário,Cinzento,Automática,,5,5,,Nacional,,,,,Usados,40 400        EUR,8089720469,10 Julho 2023,,,,,24 Meses,,Sim,,,,,Classe A,,5 l/100km,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,30 TFSI S line S tronic,Gasolina,Março,2022,27 000 km,999 cm3,110 cv,Sim,Utilitário,Cinzento,Automática,7,5,5,Classe 1,Nacional,,Sim,Sim,"5,10 l/100km",Usados,31 900        EUR,8089155585,10 Julho 2023,Sim,Metalizado,,,36 Meses,1,Sim,,,,,,,,Sim,Sim,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.5 BlueHDi Active Pack,Diesel,Janeiro,2021,66 975 km,1 499 cm3,130 cv,,SUV / TT,Verde,Manual,6,5,5,,Importado,,,,"4,40 l/100km",Usados,33 490        EUR,8088240887,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
