Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Valor Fixo,Aceita retoma,Não fumador,Tracção,Filtro de partículas,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,ou até,Autonomia Máxima,Inspecção válida até,IUC,Consumo Combinado,Autonomia,Consumo
Particular,Alfa Romeo,Tonale,1.5 Hybrid Edizione Speciale,Híbrido (Gasolina),Janeiro,2023,5 500 km,1 469 cm3,160 cv,,,,SUV / TT,Azul,Metalizado,Automática,7,5,5,Classe 1,126 g/km,,1,Nacional,Sim,Usados,40 500        EUR,8089508122,1 Junho 2023,,Sim,,Sim,Tracção dianteira,,Sim,,,05/01/2026,,,05/01/2027,"138,51 €",,,
Profissional,BMW,330,e iPerformance Pack M,Híbrido (Gasolina),Novembro,2017,53 000 km,1 998 cm3,252 cv,,,Sim,Sedan,Preto,Metalizado,Automática,,4,5,Classe 1,,18 Meses,1,Nacional,Sim,Usados,32 990        EUR,8089602906,1 Junho 2023,Série 3,Sim,Sim,Sim,,,Sim,,,,,,,,,,
Profissional,BMW,225xe Active Tourer,Pack M,Híbrido (Gasolina),Janeiro,2021,46 728 km,1 499 cm3,224 cv,,Sim,Sim,Monovolume,Branco,Metalizado,Automática,,5,5,Classe 1,,18 Meses,,,Sim,Usados,37 900        EUR,8089339555,1 Junho 2023,Série 2,Sim,Sim,Sim,,,Sim,,,,,59 km,01/01/2025,,"3,10 l/100km",,
Profissional,Toyota,Prius,1.8 Premium,Híbrido (Gasolina),Fevereiro,2011,87 000 km,1 798 cm3,136 cv,,,Sim,Sedan,Cinzento,Metalizado,Automática,6,5,5,Classe 1,89 g/km,18 Meses,,,Sim,Usados,13 750        EUR,8088534771,1 Junho 2023,,,Sim,Sim,Tracção dianteira,,,4 l/100km,,,,,11/01/2024,144 €,,,
Profissional,Mercedes-Benz,C 350,e,Híbrido (Gasolina),Setembro,2017,107 440 km,1 991 cm3,279 cv,,Sim,,Carrinha,Cinzento,,Automática,7,5,5,Classe 1,53 g/km,18 Meses,,Nacional,,Usados,34 890        EUR,8088190399,1 Junho 2023,Classe C,,Sim,Sim,Tracção traseira,,Sim,,,,,,,,"2,10 l/100km",,
Profissional,Mercedes-Benz,GLC 350,e AMG Line 4-Matic,Híbrido (Gasolina),Maio,2017,135 000 km,1 991 cm3,320 cv,,,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,5,,,18 Meses,,,Sim,Usados,35 900        EUR,8089053200,1 Junho 2023,Classe GLC,,,Sim,Integral,Sim,Sim,,,,,,01/05/2024,,,,
Particular,Audi,A3,,Híbrido (Gasolina),Julho,2020,45 000 km,1 400 cm3,204 cv,,,,Citadino,Branco,Metalizado,Automática,6,5,5,Classe 1,43 g/km,,1,Importado,Sim,Usados,32 000        EUR,8088018594,1 Junho 2023,,,,Sim,Tracção dianteira,,Sim,,,,,50 km,20/11/2023,130 €,,,
Profissional,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Outubro,2020,28 500 km,1 332 cm3,218 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Automática,9,5,5,Classe 1,,18 Meses,1,Nacional,Sim,Usados,40 990        EUR,8089440190,1 Junho 2023,Classe A,Sim,Sim,Sim,Tracção dianteira,,Sim,,,,,,,,,,
Profissional,Mercedes-Benz,A 250,e Progressive,Híbrido (Gasolina),Janeiro,2022,15 242 km,1 332 cm3,218 cv,,,Sim,Utilitário,Preto,Metalizado,Automática,6,5,5,Classe 1,,24 Meses,,,Sim,Usados,40 990        EUR,8089309378,1 Junho 2023,Classe A,Sim,Sim,,,,Sim,,,,,,01/01/2026,,,,
Profissional,Toyota,C-HR,1.8 Hybrid Square Collection,Híbrido (Gasolina),Junho,2021,48 205 km,1 798 cm3,122 cv,,,Sim,SUV / TT,Branco,Metalizado,Automática,,5,5,Classe 1,,36 Meses,,Nacional,Sim,Usados,32 500        EUR,8089470333,1 Junho 2023,,,,Sim,Tracção dianteira,,Sim,"3,20 l/100km",,01/05/2030,200 000 km,,01/06/2025,,,,
Profissional,Renault,Mégane Sport Tourer,1.6 E-Tech Plug-In Hybrid R.S. Line,Híbrido (Gasolina),Setembro,2021,65 209 km,1 598 cm3,160 cv,,,Sim,Carrinha,Azul,,Automática,,5,,,,36 Meses,,Nacional,,Usados,28 990        EUR,8089371711,1 Junho 2023,,Sim,,,,,,,,,,,,,,,
Profissional,Volvo,V60,2.4 D6 Momentum AWD Phev,Híbrido (Diesel),Fevereiro,2016,154 700 km,2 400 cm3,286 cv,,,,Carrinha,Prateado,,Automática,,5,5,,,18 Meses,,Importado,,Usados,21 500        EUR,8088989119,1 Junho 2023,,,Sim,,,,,,,,,,,,,,
