Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Valor Fixo,Tipo de cor,Tracção,Emissões CO2,Origem,Consumo Urbano,Consumo Extra Urbano,IUC,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Consumo Combinado,Garantia de Fábrica até,ou até,Consumo,Clássico,Site,Portugal
Profissional,Citroën,DS3,Gasolina,Novembro,2012,134 845 km,1 598 cm3,202 cv,Sim,Sim,Citadino,Branco,Manual,6,3,5,Classe 1,,,18 Meses,,Sim,Sim,Sim,Usados,14 990        EUR,8089936599,6 Julho 2023,1.6 THP Racing,,Metalizado,Tracção dianteira,,Importado,"8,70 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Leaf,Eléctrico,Novembro,2015,146 666 km,,109 cv,Sim,Sim,Utilitário,Branco,Automática,,5,5,,,,18 Meses,,,,,Usados,9 900        EUR,8089989281,6 Julho 2023,Acenta,Sim,,Tracção dianteira,,Nacional,,,,,,,,24 kWh,Própria,,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,Diesel,Setembro,2020,43 000 km,1 461 cm3,95 cv,Sim,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,Sim,,18 Meses,1,Sim,Sim,Sim,Usados,14 499        EUR,8089959163,6 Julho 2023,Blue dCi 95 Comfort,,Metalizado,Tracção dianteira,94 g/km,Importado,"4,10 l/100km","3,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,Diesel,Abril,2018,143 000 km,1 598 cm3,95 cv,Sim,Sim,Utilitário,Cinzento,Manual,,5,5,Classe 1,,,18 Meses,,Sim,,Sim,Usados,13 990        EUR,8089566242,6 Julho 2023,1.6 TDI Reference,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,Gasolina,Março,2018,101 000 km,1 242 cm3,69 cv,Sim,Sim,Citadino,Cinzento,Manual,,3,4,Classe 1,,,18 Meses,,Sim,,Sim,Usados,12 990        EUR,8089566235,6 Julho 2023,1.2 Lounge S&S,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo Station Wagon,Diesel,Maio,2018,111 623 km,1 248 cm3,95 cv,Sim,Sim,Carrinha,Castanho,Manual,5,5,5,Classe 1,Sim,,18 Meses,1,,Sim,Sim,Usados,14 900        EUR,8089936590,6 Julho 2023,1.3 M-Jet Lounge,Sim,Metalizado,,,Nacional,,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Particular,VW,Up!,Gasolina,Março,2015,126 000 km,999 cm3,60 cv,,,Citadino,Preto,Manual,5,5,4,,,,,,,,,Usados,7 990        EUR,8089936562,6 Julho 2023,1.0 BlueMotion Move,,,Tracção dianteira,95 g/km,,5 l/100km,"3,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,Diesel,Outubro,2013,156 000 km,1 560 cm3,115 cv,Sim,Sim,Utilitário,Branco,Manual,6,5,5,Classe 1,,,18 Meses,,Sim,Sim,Sim,Usados,13 450        EUR,8089959160,6 Julho 2023,1.6 e-HDi Allure J17,,Pérola,Tracção dianteira,100 g/km,Nacional,"4,40 l/100km","3,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane Sport Tourer,Diesel,Junho,2019,134 000 km,1 461 cm3,115 cv,,,Carrinha,Cinzento,Manual,6,5,5,,,,,1,,Sim,,Usados,15 000        EUR,8089916130,6 Julho 2023,1.5 Blue dCi Business,,Metalizado,Tracção dianteira,118 g/km,Importado,"4,60 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Smart,ForTwo,Gasolina,Janeiro,2015,106 000 km,999 cm3,71 cv,,,Coupé,Cinzento,Manual,5,3,2,Classe 1,,,,,,,,Usados,8 000        EUR,8089628592,6 Julho 2023,1.0 Passion 71,,Mate,Tracção traseira,93 g/km,,"4,90 l/100km","3,70 l/100km",108 €,,,,,,,133 000 km,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Gasolina,Abril,2018,135 000 km,898 cm3,90 cv,Sim,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,,,18 Meses,,Sim,,,Usados,12 990        EUR,8089215128,6 Julho 2023,TCe 90 Dynamique,Sim,Metalizado,Tracção dianteira,,,"6,20 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Gasolina,Março,2018,110 000 km,898 cm3,90 cv,Sim,Sim,Citadino,Cinzento,Manual,5,5,5,Classe 1,,,18 Meses,1,Sim,,Sim,Usados,13 490        EUR,8089166541,6 Julho 2023,0.9 TCe Limited,Sim,Metalizado,Tracção dianteira,,,"6,30 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,Diesel,Maio,2015,154 000 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,Sim,,18 Meses,1,Sim,,Sim,Usados,13 750        EUR,8089053996,6 Julho 2023,1.6 TDi BlueMotion Confortline,Sim,Metalizado,Tracção dianteira,87 g/km,Nacional,4 l/100km,,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,Diesel,Março,2016,155 747 km,1 422 cm3,90 cv,Sim,Sim,Citadino,Prateado,Manual,5,5,5,Classe 1,,,18 Meses,1,Sim,,Sim,Usados,12 900        EUR,8089832609,6 Julho 2023,1.4 TDi Trendline,,Metalizado,Tracção dianteira,95 g/km,Importado,4 l/100km,"3,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,Diesel,Novembro,2011,164 734 km,1 995 cm3,143 cv,Sim,Sim,Citadino,Cinzento,Manual,6,3,4,Classe 1,,,18 Meses,1,Sim,,Sim,Usados,14 900        EUR,8087562046,6 Julho 2023,SD,,Metalizado,Tracção dianteira,,Importado,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Sportsvan,Diesel,Novembro,2014,156 500 km,1 598 cm3,110 cv,Sim,Sim,Monovolume,Prateado,Manual,6,5,5,Classe 1,,10/11/2023,18 Meses,,,,,Usados,14 500        EUR,8089585078,6 Julho 2023,1.6 TDI BlueMotion Comfortline,,Metalizado,Tracção dianteira,95 g/km,,"4,10 l/100km","3,40 l/100km","154,12 €",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,Gasolina,Setembro,2015,88 000 km,998 cm3,100 cv,Sim,Sim,Utilitário,Azul,Manual,5,5,5,Classe 1,,01/09/2023,18 Meses,,,Sim,Sim,Usados,12 990        EUR,8089507850,6 Julho 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,Diesel,Novembro,2016,135 000 km,1 560 cm3,100 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,5,Classe 1,,01/11/2024,18 Meses,,,Sim,Sim,Usados,11 990        EUR,8088913707,6 Julho 2023,1.6 BlueHDi Active,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,Gasolina,Março,2019,96 000 km,999 cm3,100 cv,,,Utilitário,Laranja,Manual,5,5,5,Classe 1,,,18 Meses,1,,Sim,,Usados,14 950        EUR,8088651985,6 Julho 2023,1.0 IG-T Tekna,Sim,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,Diesel,Abril,2018,116 000 km,1 560 cm3,100 cv,Sim,Sim,Citadino,Branco,Manual,5,5,1,Classe 1,,,18 Meses,1,Sim,Sim,Sim,Usados,13 800        EUR,8089849916,6 Julho 2023,1.6 BlueHDi Allure,Sim,Pérola,Tracção dianteira,90 g/km,,"3,80 l/100km","3,20 l/100km",140 €,,,,,,,,,,,,,StandVirtual,Yes
